language	Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Homepage_URL
Indian Corpus	cited_context	WEAT Hindi test set	https://doi.org/10.18653/v1/2022.naacl-main.76 (2021)	https://doi.org/10.4103/0019-5545.161480 (2015)	The WEAT Hindi test set is used to create and quantify gender bias across neutral adjectives in Hindi. Researchers employ this dataset to analyze stereotypical language and societal biases in Indian languages, focusing on how certain adjectives are disproportionately associated with specific genders. This methodology helps in understanding and measuring linguistic and cultural gender biases.	
Indian Corpus	citing_context	Web Based Manipuri News Corpus	https://doi.org/10.1145/3639565 (2024)	https://www.semanticscholar.org/paper/8b3cb6e7a8709639c6fd835540243e4154aecad3 (2012)	The Web Based Manipuri News Corpus is used to develop and evaluate a rule-based approach for Bengali–Meetei Mayek transliteration. This involves creating and testing transliteration rules to ensure their accuracy and effectiveness. The dataset's news content provides a rich source of text for this specific linguistic transformation, enabling researchers to assess the performance of their transliteration methods.	
Indian Corpus	cited_context	WikiAnn NER dataset	https://doi.org/10.18653/v1/2020.findings-emnlp.445 (2020)	https://doi.org/10.18653/v1/P17-1178 (2017)	The WikiAnn NER dataset is used for cross-lingual named entity recognition (NER) and linking, covering 282 languages. It enhances multilingual NLP capabilities by providing a large-scale resource for training and evaluating models to identify and link named entities across diverse linguistic contexts. This dataset supports research in improving the accuracy and robustness of NER systems in multilingual environments.	
Indian Corpus	citing_context	WikiLingua	https://doi.org/10.48550/arXiv.2305.08828 (2023), https://doi.org/10.48550/arXiv.2310.18600 (2023)	https://doi.org/10.18653/v1/2020.findings-emnlp.360 (2020)	The WikiLingua dataset is used for multilingual abstractive summarization, aligning summaries and documents across multiple languages using image pivots, particularly in how-to articles. It serves as a benchmark to evaluate models' performance in generating coherent summaries in various languages, including Hindi, and extends beyond English-centric approaches by exploring over 1,500 language pairs.	
Indian Corpus	cited_context | citing_context	Wikipedia	https://doi.org/10.48550/arXiv.2309.15779 (2023), https://doi.org/10.18653/v1/2023.acl-long.693 (2022)	https://doi.org/10.18653/v1/P18-2124 (2018), https://www.semanticscholar.org/paper/81ed0e757ae2d66a43d73407ad6f7e0359adf6d7 (2020)	The Wikipedia dataset is used for training BERT multilingual models on masked language modeling and next sentence prediction tasks across 104 languages, including Indian languages. This approach leverages the extensive and diverse textual content of Wikipedia to enhance the model's understanding and performance in multilingual contexts. The dataset's broad language coverage and rich textual data enable researchers to develop more robust and versatile natural language processing models.; The Wikipedia dataset is used to train MuRIL, a multilingual BERT model, by providing textual and annotated data in 16 Indic languages. This dataset offers parallel corpora, enhancing language representation and understanding in Indian languages. The research focuses on improving multilingual models' performance in these specific linguistic contexts.	
Indian Corpus	cited_context | citing_context	dataset with around 600 videos across 22 classes	https://doi.org/10.1145/3394171.3413528 (2020)	https://doi.org/10.1007/978-3-642-12214-9_18 (2010)	The dataset with around 600 videos across 22 classes is primarily used for recognizing isolated Indian Sign Language gestures in real time. It focuses on gesture classification and real-time processing, enabling researchers to develop and test algorithms for accurate and timely gesture recognition. The dataset's diverse class representation supports robust model training and evaluation.; The dataset with around 600 videos across 22 classes is primarily used for recognizing isolated Indian Sign Language gestures in real-time. It focuses on gesture classification and real-time processing, employing methodologies that enable accurate and timely gesture recognition. This dataset facilitates research in improving real-time sign language communication systems, enhancing the accuracy and responsiveness of gesture recognition algorithms.	
Indian Corpus	cited_context	WMT 2019 English-Nepali	https://www.semanticscholar.org/paper/81ed0e757ae2d66a43d73407ad6f7e0359adf6d7 (2020)	https://doi.org/10.18653/v1/W19-5404 (2019)	The WMT 2019 English-Nepali dataset is used for the corpus-filtering task under low-resource conditions, aiming to enhance translation quality and data efficiency. Researchers employ this dataset to develop and test methods that improve the performance of machine translation systems by filtering and optimizing the training data. This focus on low-resource settings is crucial for advancing translation technologies in less commonly supported languages like Nepali.	
Indian Corpus	cited_context	WMT conference datasets	https://www.semanticscholar.org/paper/81ed0e757ae2d66a43d73407ad6f7e0359adf6d7 (2020)	https://doi.org/10.18653/v1/W19-5301 (2019)	The WMT conference datasets are used for shared news translation tasks, specifically in English-Hindi and English-Gujarati, and for corpus-filtering tasks in English-Sinhala. These datasets focus on improving machine translation systems by enhancing translation accuracy and filtering relevant corpora, thereby advancing the performance of translation models in these language pairs.	
Indian Corpus	cited_context | citing_context	WordNet	https://www.semanticscholar.org/paper/b4fc9183d76947e5467ed27fae9b80d8aca7b2c0 (2022)	https://doi.org/10.1007/s11431-020-1622-y (2020)	WordNet is used in research for enhancing text summarization, particularly in Assamese. It provides lexical and semantic relationships, which are crucial for generating sentence similarity in abstractive summarization. This improves the quality of generated summaries by leveraging the dataset's rich semantic structure.	
Indian Corpus	cited_context	XGLUE	https://doi.org/10.18653/v1/2022.acl-long.150 (2021)	https://doi.org/10.18653/v1/2020.emnlp-main.484 (2020)	The XGLUE dataset is used in research to compare various models in natural language processing (NLP), focusing on cross-lingual pre-training, understanding, and generation tasks. It enables researchers to evaluate and benchmark model performance across different languages, facilitating advancements in multilingual NLP capabilities.	
Indian Corpus	cited_context | citing_context	XL-Sum	https://doi.org/10.48550/arXiv.2212.05702 (2022), https://doi.org/10.48550/arXiv.2203.05437 (2022), https://www.semanticscholar.org/paper/a05ff6a06948992ecfa93f4c7576583b5272e4c2 (2021)	https://doi.org/10.18653/V1/2021.NAACL-MAIN.41 (2020), https://doi.org/10.18653/v1/2021.findings-acl.413 (2021)	The XL-Sum dataset is used to train and evaluate the mT5 model for multilingual and low-resource abstractive summarization tasks, covering 44 languages. It enables researchers to assess the performance of abstractive summarization models in diverse linguistic contexts, focusing on generating concise and coherent summaries. The dataset's multilingual nature supports the development of robust summarization systems across various languages, enhancing cross-lingual transfer capabilities.; The XL-Sum dataset is primarily used for multilingual abstractive summarization research, focusing on improving summarization quality and performance across 44 languages, including Indic languages like Nepali and Sinhala. It is utilized to train and evaluate abstractive summarization models, particularly using IndicBART, to enhance summarization in less-resourced languages through techniques such as script unification. The dataset's curation from the same source as the English XSum ensures consistency and comparability in cross-lingual summarization studies.	
Indian Corpus	cited_context	XPersona	https://doi.org/10.18653/v1/2021.emnlp-main.699 (2021)	https://doi.org/10.18653/v1/2021.nlp4convai-1.10 (2020)	The XPersona dataset is used to evaluate generative chatbots in a multilingual chit-chat dialogue setting, focusing on personalized interactions and response quality. It enables researchers to assess how well chatbots can generate contextually appropriate and personalized responses across multiple languages, enhancing the evaluation of conversational AI systems.	
Indian Corpus	cited_context	XQuAD	https://doi.org/10.48550/arXiv.2404.16816 (2024)	https://doi.org/10.18653/v1/2020.acl-main.421 (2019)	The XQuAD dataset is primarily used for cross-lingual question answering (QA) and machine translation, evaluating models' ability to answer questions and translate text across multiple languages, including Indian languages. It assesses cross-lingual transferability of monolingual representations through 240 passages and 1190 QA pairs, extending benchmarks for tasks like cross-lingual summarization to improve model performance in generating summaries and translating between low-resource languages.	
Indian Corpus	cited_context	X-SRL	https://doi.org/10.18653/v1/2022.acl-long.179 (2022)	https://doi.org/10.18653/v1/2020.emnlp-main.321 (2020)	The X-SRL dataset is used for cross-lingual semantic role labeling, where it facilitates the inference of semantic roles in translated sentences. This involves automatic translation and label projection methodologies. The dataset enables researchers to address the challenge of aligning semantic roles across languages, enhancing the accuracy of cross-lingual natural language processing tasks.	
Kyrgyz Corpus	cited_context | citing_context	780 dependency trees	https://doi.org/10.48550/arXiv.2308.15952 (2023)	https://www.semanticscholar.org/paper/e94e7940851d2908a993b9f90e3dd87c6de7c2f3 (2016)	The dataset '780 dependency trees' is mentioned in the citation context but lacks detailed descriptions of its usage. Therefore, there is no specific information available regarding its application, methodology, research questions, or enabling capabilities in any particular research area.; The '780 dependency trees' dataset is used to model the grammar, syntax, and morphology of the Kyrgyz language, contributing to the Universal Dependencies initiative. This dataset enables researchers to analyze and standardize linguistic structures, facilitating cross-linguistic research and computational linguistics applications.	
Kyrgyz Corpus	citing_context	CC100	https://doi.org/10.48550/arXiv.2407.05006 (2024)	https://doi.org/10.18653/v1/P17-1178 (2017)	The CC100 dataset is used to provide monolingual and multilingual text data for the Kyrgyz language, supporting cross-lingual language modeling, representation learning, and named entity recognition (NER). It enhances language model training and evaluation, and provides annotated data for cross-lingual tagging and linking, specifically improving text classification and entity recognition capabilities in Kyrgyz.	
Kyrgyz Corpus	cited_context	Common Voice Corpus 9.0	https://doi.org/10.1109/BigComp57234.2023.00037 (2023)	https://www.semanticscholar.org/paper/63a71de0dafc90910e37a2b07169ff486d9b5fe5 (2019)	The Common Voice Corpus 9.0 is used to build Automatic Speech Recognition (ASR) models, focusing on evaluating speech recognition performance across multiple languages. Researchers employ this dataset to develop and test ASR systems, leveraging its diverse language coverage to enhance model robustness and accuracy. The dataset's multilingual nature enables comparative analysis and cross-linguistic studies, facilitating advancements in speech technology.	
Kyrgyz Corpus	cited_context	KSC	https://doi.org/10.1109/BigComp57234.2023.00037 (2023)	https://www.semanticscholar.org/paper/a9b7a78d7b8741cc6e8a03789a34fb98820b66c4 (2022)	The KSC dataset is used to enhance the quality and diversity of speech data in the Kyrgyz language by extending open-source TTS corpora and adding more data, speakers, and topics. It is integrated into a larger corpus containing transcribed read and spontaneous speech, which supports the study of Kyrgyz language speech patterns. This dataset enables researchers to improve the naturalness and variability of text-to-speech systems and analyze linguistic features in spoken Kyrgyz.	
Kyrgyz Corpus	cited_context | citing_context	Kyrgyz article titles	https://doi.org/10.48550/arXiv.2308.15952 (2023)	https://doi.org/10.18653/v1/D19-1410 (2019)	The 'Kyrgyz article titles' dataset is used to analyze language patterns in Kyrgyz by examining a subset of 500 randomly sampled and annotated article titles. This methodology involves deriving meaningful conclusions about specific topics within the language, enabling researchers to explore linguistic trends and content themes in Kyrgyz media.; The 'Kyrgyz article titles' dataset is used to derive meaningful conclusions about topics by translating and sampling 500 titles from a total of 23,284 Kyrgyz articles. These titles are then processed to obtain their embeddings using SentenceBERT, enabling researchers to analyze and understand the thematic content and structure of Kyrgyz articles through computational methods.	
Kyrgyz Corpus	citing_context	Kyrgyz-Russian Parallel Corpus	https://doi.org/10.48550/arXiv.2407.05006 (2024)	https://doi.org/10.1109/BigComp57234.2023.00037 (2023)	The Kyrgyz-Russian Parallel Corpus is used to support machine translation and automatic speech recognition tasks, particularly for developing models for less-resourced Turkic languages. This dataset enables researchers to train and evaluate models that enhance the processing and understanding of these languages, focusing on improving translation accuracy and speech recognition performance.	
Kyrgyz Corpus	citing_context	KyrgyzTTS	https://doi.org/10.48550/arXiv.2407.05006 (2024), https://doi.org/10.48550/arXiv.2305.15749 (2023)	https://doi.org/10.21437/Interspeech.2021-2124 (2021)	The KyrgyzTTS dataset is used for training and testing text-to-speech (TTS) systems in the Kyrgyz language, focusing on enhancing the quality and accuracy of synthesized speech. This dataset enables researchers to develop more effective TTS models for Kyrgyz, addressing the specific phonetic and linguistic challenges of the language.	
Kyrgyz Corpus	citing_context	Kyrgyz-UzTurk	https://doi.org/10.48550/arXiv.2407.05006 (2024)	https://doi.org/10.48550/arXiv.2205.06072 (2022)	The Kyrgyz-UzTurk dataset is used as a comprehensive linguistic resource for Central Asian languages, including Kyrgyz. It includes a variety of POS tags and syntactic features, enabling detailed linguistic analysis. Researchers use this dataset to explore grammatical structures and syntactic patterns, enhancing understanding of these languages' linguistic properties.	
Kyrgyz Corpus	citing_context	UD-Kyrgyz	https://doi.org/10.48550/arXiv.2308.15952 (2023)	https://www.semanticscholar.org/paper/ba233d75aa403092bda0bffc026be7913673ad69 (2021)	The UD-Kyrgyz dataset is used to train and evaluate natural language processing (NLP) models specifically for the Kyrgyz language. It focuses on syntactic and morphological analysis, enabling researchers to develop and refine NLP tools that can accurately process and understand the complex grammatical structures of Kyrgyz. This dataset supports the advancement of NLP technologies tailored to under-resourced languages like Kyrgyz.	
Kyrgyz Corpus	citing_context	WikiAnn data	https://doi.org/10.48550/arXiv.2407.05006 (2024)	https://doi.org/10.48550/arXiv.2308.15952 (2023)	The WikiAnn data is used to fine-tune Named Entity Recognition (NER) models in the Kyrgyz language. This dataset focuses on enhancing text classification and entity recognition capabilities, specifically addressing the need for improved NER performance in Kyrgyz. The dataset's annotated entities enable researchers to train and evaluate models, thereby advancing natural language processing tasks in this under-resourced language.	
Lao Corpus	citing_context	Lao Dataset	https://doi.org/10.48550/arXiv.2407.19672 (2024)	https://doi.org/10.48550/arXiv.2502.06298 (2025)	The Lao Dataset is used to construct and evaluate SeaBench, a benchmark for assessing multi-turn instruction-following capabilities in Lao and other Southeast Asian languages. It focuses on local multilingual questions and is employed to benchmark language models, evaluating their performance across diverse linguistic contexts in the region. This dataset enables researchers to test and improve the multilingual proficiency of language models, particularly in handling complex, context-dependent instructions.	
Lao Corpus	citing_context	Lao-Thai dictionary	https://doi.org/10.1109/MAPR63514.2024.10660932 (2024)	https://doi.org/10.1109/JCSSE.2016.7748893 (2016)	The Lao-Thai dictionary dataset is used to facilitate Lao-Thai machine translation by leveraging the linguistic similarities between the two languages. Specifically, it focuses on generating translations from segmented Lao words, enhancing the accuracy of machine translation systems. This dataset enables researchers to improve translation quality by providing a structured resource for word segmentation and translation mapping.	
Lao Corpus	citing_context	OSCAR corpus	https://www.semanticscholar.org/paper/01a207b8f352f1971f04cd2a28b8859c4cde3746 (2021)	https://www.semanticscholar.org/paper/92343cecdc990380de362b969eec60081959f507 (2019)	The OSCAR corpus is utilized in research to process large-scale corpora, particularly in low-resource settings, focusing on efficient data handling and processing pipelines. It is specifically employed to extract and process Lao language text from the Common Crawl corpus, enabling research in medium to low resource infrastructures. This dataset facilitates the development of text processing techniques tailored for under-resourced languages.	
Minangkabau Corpus	citing_context	Minangkabau–Indonesian parallel corpus	https://www.semanticscholar.org/paper/b50c7c60416e334440e18832a9ee9b6fddf636d2 (2020)	https://www.semanticscholar.org/paper/7c5f9a60b5942f6a56210e0efa38988620d254d0 (2008)	The Minangkabau–Indonesian parallel corpus is used for various linguistic and computational tasks, including sentiment analysis, linguistic diversity studies, and language preservation. It consists of manually and automatically translated sentences and words, enabling researchers to analyze Minangkabau's dialectal variations, build bilingual dictionaries, and develop machine translation systems. The dataset's construction from Twitter and Wikipedia enhances its utility for language documentation and processing.	
Minangkabau Corpus	citing_context	SmSA	https://doi.org/10.56127/ijst.v3i3.1739 (2024)	https://doi.org/10.1109/ICAICTA.2019.8904199 (2019)	The SmSA dataset is used to create a culturally relevant Minangkabau language sentiment analysis dataset. Skilled bilingual speakers translate content, ensuring cultural accuracy. This process supports research in developing sentiment analysis tools for the Minangkabau language, addressing the need for culturally sensitive natural language processing resources.	
Northern Thai Corpus	citing_context	Northern Thai Dialect Dataset	https://doi.org/10.48550/arXiv.2504.05898 (2025)	https://doi.org/10.18653/v1/2021.findings-acl.413 (2021)	The Northern Thai Dialect Dataset is used to train and evaluate models for summarization tasks, specifically focusing on the Northern Thai dialect. It supports the development of multilingual abstractive summarization systems, enabling researchers to enhance the performance and accuracy of these models in handling Northern Thai content.	
Northern Thai Corpus	citing_context	Northern Thai language dataset	https://doi.org/10.48550/arXiv.2502.09042 (2025)	https://doi.org/10.48550/arXiv.2501.19393 (2025)	The Northern Thai language dataset is used to train and evaluate models for Northern Thai language translation, employing fine-tuning techniques. This dataset supports research focused on improving translation accuracy and linguistic processing for Northern Thai, enabling the development of more effective language models and systems.	
Norwegian Corpus	cited_context | citing_context	ASK Corpus	https://doi.org/10.48550/arXiv.2305.03880 (2023)	https://www.semanticscholar.org/paper/af7417fdebb1d51e08f4b77111d6464fbaa9f6a5 (2006)	The ASK Corpus is used as the foundation for deriving NoCoLA, a dataset focused on Norwegian Bokmål texts written by language learners. It enables researchers to study writing patterns and second language acquisition, specifically through the analysis of learner-produced texts. This corpus provides essential data for understanding how non-native speakers acquire and use Norwegian Bokmål.; The ASK Corpus is used to derive NoCoLA, focusing on Norwegian Bokmål texts written by language learners. It supports research into second language acquisition patterns and linguistic features, enabling studies that analyze how learners acquire and use the language. The corpus provides a foundation for understanding the linguistic challenges and progressions in learning Norwegian Bokmål.	
Norwegian Corpus	citing_context	Aviskorpuset	https://www.semanticscholar.org/paper/5297eddbd7fbbc44f61e942df6605bee7367555b (2019)	https://www.semanticscholar.org/paper/104719c7165e93aba1a84d5e82975467d2bdc585 (2017)	Aviskorpuset is used to enhance word embedding models in Norwegian language research. It is employed to retrofit existing models by integrating additional linguistic information from the dataset, thereby improving model performance. Additionally, it serves as a rich source of text for training word embeddings, particularly for lexicon expansion, focusing on adjectives and adverbs. This dataset enables researchers to enrich the vocabulary and linguistic capabilities of their models.	
Norwegian Corpus	citing_context	CLARINO repository	https://doi.org/10.1007/s10579-018-9411-5 (2018)		The CLARINO repository is used to facilitate access to CSV and TSV files containing variable and annotation data for the Norwegian language dataset. Researchers employ this structured repository to obtain and analyze linguistic data, enhancing the accessibility and usability of these resources for various studies. This dataset enables detailed linguistic analysis by providing well-organized and annotated data, supporting research in Norwegian language studies.	
Norwegian Corpus	citing_context	Common Crawl	https://doi.org/10.48550/arXiv.2303.17183 (2023)	https://www.semanticscholar.org/paper/92343cecdc990380de362b969eec60081959f507 (2019)	The Common Crawl dataset is used to create and enhance multilingual corpora, particularly The Nordic Pile, by providing filtered and cleaned web text. It contributes to the development of Norwegian and other Nordic language datasets through language-specific filtering and quality enhancement. The dataset supports research in multilingual text processing and the creation of high-quality monolingual datasets, facilitating the development of automatic data processing pipelines.	
Norwegian Corpus	cited_context	ConanDoyle-neg	https://www.semanticscholar.org/paper/7bf9f3a9ff4f7caa555baea20edad0b3a8c7de1f (2021)	https://doi.org/10.3115/1596374.1596381 (2009)	The ConanDoyle-neg dataset is primarily used to adapt and refine negation annotation guidelines for Norwegian. It serves as a reference for developing annotation standards, focusing on negation cues and scopes. The dataset is utilized in parallel corpora and Spanish negation-annotated texts to inform the structure and labeling of negation in Norwegian, enabling consistent and linguistically informed annotation practices.	
Norwegian Corpus	citing_context	CrowS-Pairs	https://doi.org/10.18653/v1/2024.gebnlp-1.22 (2024)	https://doi.org/10.18653/v1/2020.emnlp-main.154 (2020)	The CrowS-Pairs dataset is used to measure social biases in masked language models, particularly in the context of Norwegian language models such as NorBERT and NB-BERT. Researchers employ the dataset's metric to score these models, assessing their biases. This enables the evaluation and comparison of social bias levels in different language models, contributing to the development of more equitable AI systems.	
Norwegian Corpus	citing_context	DanNet2	https://www.semanticscholar.org/paper/5297eddbd7fbbc44f61e942df6605bee7367555b (2019)	https://doi.org/10.1561/1500000011 (2008)	The DanNet2 dataset is used as a foundational resource for translating and developing the Norwegian WordNet. It focuses on the structure and content of synsets and named entities, enabling researchers to enhance lexical resources and semantic networks for the Norwegian language. This dataset supports the creation and refinement of linguistic tools, facilitating more accurate and nuanced natural language processing applications in Norwegian.	
Norwegian Corpus	cited_context | citing_context	EDEN	https://www.semanticscholar.org/paper/c10d727438b3c67bd93b1b98e87d71854095d544 (2025), https://www.semanticscholar.org/paper/da4c9c0906f111191d32f18807ec1d4870b4014e (2024)	https://doi.org/10.48550/arXiv.2501.07718 (2025)	The EDEN dataset is primarily used for event detection and abstractive summarization in Norwegian news articles. It provides richly annotated data for identifying and classifying events, which is crucial for evaluating event-based metrics and training models like NorEventGen. The dataset also serves as a benchmark for summarization tasks, enabling researchers to assess the quality and coherence of generated summaries using metrics such as ROUGE-L and BERTScore. Its comprehensive annotations and human-authored summaries make it a valuable resource for advancing natural language processing in Norwegian.; The EDEN dataset is used to compare the size of Norwegian language datasets, particularly focusing on its token count relative to English datasets. Researchers employ this dataset to investigate the adequacy of dataset sizes for language processing tasks, using it to highlight disparities and assess the implications for model training and performance.	
Norwegian Corpus	citing_context	ENPC+	https://doi.org/10.15845/bells.v11i1.3436 (2021)		The ENPC+ dataset is used to measure Mutual Correspondence of verbs and nouns between English and Norwegian, facilitating cross-linguistic analysis. This dataset enables researchers to demonstrate high comparability between the two languages, supporting studies that require precise linguistic alignment and comparison.	
Norwegian Corpus	citing_context	GermanQuAD	https://doi.org/10.48550/arXiv.2305.01957 (2023)	https://doi.org/10.18653/v1/2021.mrqa-1.4 (2021)	The GermanQuAD dataset is used to compare question categorization in non-English languages, specifically focusing on differences in how question types are handled in German versus Norwegian. This involves analyzing and contrasting the methodologies and outcomes of question categorization in these two languages, highlighting the unique characteristics and challenges each presents. The dataset enables researchers to explore linguistic and cultural nuances in question formulation and processing, providing insights into the effectiveness of natural language processing techniques across different languages.	
Norwegian Corpus	citing_context	HPLT corpus	https://doi.org/10.48550/arXiv.2504.07749 (2025)	https://doi.org/10.48550/arXiv.2503.10267 (2025)	The HPLT corpus is used to select contexts for annotation from diverse sources such as Wikipedia, news, books, and public documents. This supports the development of high-performance language technologies. The dataset enables researchers to enhance the quality and breadth of annotated data, which is crucial for training and evaluating natural language processing models.	
Norwegian Corpus	cited_context | citing_context	HurtLex	https://doi.org/10.48550/arXiv.2305.03880 (2023)	https://doi.org/10.4000/BOOKS.AACCADEMIA.3085 (2018)	HurtLex is used in research to map generated text completions to language-specific offensive words, focusing on word-level completion scores. This dataset enables the identification and quantification of offensive language in generated text, facilitating the study of how AI models produce potentially harmful content. The dataset's focus on offensive language allows researchers to evaluate and improve the ethical and social implications of natural language processing systems.; HurtLex is used in research to map generated text completions to language-specific offensive words, focusing on word-level completion scores. This dataset enables the identification and quantification of offensive language, facilitating studies on the detection and analysis of harmful content in natural language processing tasks.	
Norwegian Corpus	citing_context	IMDB	https://www.semanticscholar.org/paper/5297eddbd7fbbc44f61e942df6605bee7367555b (2019)	https://doi.org/10.3765/SALT.V20I0.2565 (2010)	The IMDB dataset is primarily used for sentiment analysis, particularly in creating and evaluating sentiment lexicons. Researchers leverage the dataset to extract words from positive and negative reviews, expanding sentiment lexicons using methods like Potts (2011). It is often combined with other datasets like NoReC to enhance lexicon effectiveness and assess performance in sentiment classification tasks, especially for Norwegian text.	
Norwegian Corpus	citing_context	JaQuAD	https://doi.org/10.48550/arXiv.2305.01957 (2023)	https://www.semanticscholar.org/paper/2ec3fb471f059fe401c7e1d7d7a199ba4feae814 (2022)	The JaQuAD dataset is used to inspire the creation of re-phrasal examples for a Norwegian language dataset, specifically focusing on enhancing question answering and machine reading comprehension systems. This involves generating alternative phrasings of questions to improve model robustness and understanding. The dataset's relevance lies in its ability to support the development of more effective natural language processing models for Norwegian.	
Norwegian Corpus	citing_context	Millennium Cohort Study	https://doi.org/10.1080/10888691.2022.2051510 (2022)	https://www.semanticscholar.org/paper/ccdb08ad95b7a73399bc6507219f0e690f7ac5e5 (2015)	The Millennium Cohort Study is used to examine the impact of socioeconomic factors on language development, particularly in a Norwegian context. While the dataset is not exclusively focused on Norwegian language, it supports research into socioeconomic gaps and their effects on language skills. The dataset enables longitudinal analysis, providing insights into how socioeconomic status influences language development over time.	
Norwegian Corpus	cited_context	MIM-GOLD-NER	https://www.semanticscholar.org/paper/7e555915106090b5e33acef49f94a41b678392c1 (2023)	https://www.semanticscholar.org/paper/f9c67d6fb03d69d712e813cfee1fa9a8fa344d9d (2022)	The MIM-GOLD-NER dataset is used to train the IceBERT model, enhancing its performance in Norwegian language tasks. This dataset, characterized by its large size and language specificity, demonstrates the significant improvement in model performance when trained on extensive, language-specific data. It enables researchers to address the challenge of improving natural language processing models for the Norwegian language.	
Norwegian Corpus	citing_context	Module 3 of the NB Tale dataset	https://www.semanticscholar.org/paper/dcf43f4762d4a9e5252425f97c05b2259d3c3eb8 (2022)		Module 3 of the NB Tale dataset is used to analyze spontaneous speech data in Norwegian, focusing on linguistic patterns and usage in natural settings. It evaluates performance across 12 dialect groups, enabling research on dialectal variation in the Norwegian language. This dataset supports studies that require authentic speech samples to explore regional linguistic differences and speech patterns.	
Norwegian Corpus	citing_context	NLEBench	https://doi.org/10.48550/arXiv.2504.07749 (2025)	https://doi.org/10.48550/arXiv.2312.01314 (2023)	NLEBench is used for comprehensive evaluation and benchmarking of Norwegian language models, focusing on tasks such as text embeddings, question-answering, document-level comprehension, sentiment analysis, and review classification. It supports empirical analysis and assessment of model capabilities and limitations, providing a standardized framework for comparing language models across Scandinavian languages. The dataset includes a combination of 19 existing and 5 newly created datasets, enabling medium-scale benchmarking efforts and comprehensive testing of generative language models in Norwegian Bokmål and Nynorsk.	
Norwegian Corpus	citing_context	NO-BoolQ	https://doi.org/10.48550/arXiv.2501.11128 (2025)	https://doi.org/10.48550/arXiv.2312.01314 (2023)	The NO-BoolQ dataset is used to evaluate generative language models in Norwegian, focusing on their ability to answer yes/no questions derived from Wikipedia passages. This dataset enables researchers to assess model performance in understanding and generating responses in the Norwegian language, providing insights into the models' capabilities and limitations in a specific linguistic context.	
Norwegian Corpus	cited_context | citing_context	NO-CNN/DailyMail	https://doi.org/10.48550/arXiv.2312.01314 (2023)	https://www.semanticscholar.org/paper/60b05f32c32519a809f21642ef1eb3eaf3848008 (2004)	The NO-CNN/DailyMail dataset is used to fine-tune baseline models for completing related tasks, primarily involving summarization and news article generation. It enables researchers to enhance model performance in these areas through targeted fine-tuning, leveraging the dataset's characteristics to improve the quality and relevance of generated content.; The NO-CNN/DailyMail dataset is used to fine-tune baseline models for completing related tasks, primarily involving summarization and news article generation. It enables researchers to enhance model performance in these areas by providing a rich source of text data. The dataset's characteristics support the development and evaluation of conversational AI and dialogue systems, though its primary application is in text summarization and news generation tasks.	
Norwegian Corpus	citing_context	NoMusic	https://doi.org/10.48550/arXiv.2501.03870 (2025)	https://www.semanticscholar.org/paper/972706306f85b1bfb40c7d35c796ad5174eb0c9c (2021)	The NoMusic dataset is used to fine-tune the mDeBERTa model for Norwegian language tasks. This specialized training data improves model performance by enhancing its ability to handle Norwegian-specific linguistic features. The dataset enables researchers to address challenges in natural language processing for Norwegian, focusing on tasks such as text classification and language understanding.	
Norwegian Corpus	citing_context	NorDial	https://doi.org/10.18653/v1/2024.vardial-1.9 (2024)	https://www.semanticscholar.org/paper/6339db5f01123bee3ad52cee14883899401a7507 (2021)	The NorDial dataset is used to study written Norwegian dialect use, focusing on the presence and frequency of dialect indicators in sentences, particularly comparing written and spoken language. It is also employed to identify and annotate written dialect posts in social media, providing annotated data for linguistic analysis. This dataset enables researchers to analyze and understand the nuances of Norwegian dialects in both formal and informal contexts.	
Norwegian Corpus	citing_context	Nordic Dialect Corpus (NDC)	https://doi.org/10.18653/v1/2024.vardial-1.9 (2024)	https://www.semanticscholar.org/paper/026d698a34d9242d58c3b1070c014ac7f0e079d1 (2009)	The Nordic Dialect Corpus (NDC) is used to analyze Norwegian dialects and language use through transcriptions of interviews. Researchers employ the dataset to study dialectal variations, focusing on linguistic patterns and regional differences. The transcriptions provide insights into sociolinguistic factors and help identify specific linguistic features across various regions. This enables detailed examinations of how language varies and evolves within Norway.	
Norwegian Corpus	citing_context	Nordic Tweet Stream	https://doi.org/10.18653/v1/2024.vardial-1.9 (2024)	https://doi.org/10.5617/dhnbpub.11050 (2018)	The Nordic Tweet Stream dataset is used for real-time monitoring of large, rich language data, focusing on addressing copyright and licensing issues specific to the Nordic region. This dataset enables researchers to analyze and manage the complexities of streaming social media data, providing insights into legal and ethical considerations in data usage.	
